battletag,SR,all_damage_done,armor_packs_created,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,molten_core_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,torbjorn_kills,turret_kills,turrets_destroyed,weapon_accuracy,win_percentage
Dima#2228,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Spookifier#1822,3529,41935,105,0,0,0.04,49,25,0,81,0,24,1,5,1,3,0,0,11,5,1,4,0,12,0,19,22,0,0,0,4,0,2700,0,43,58,4,0.37,0.48
GWBDID911#2602,2143,919,1,280,0,0,0,1,0,0,0,0,0,0,0,0,0,639,1,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0,0.02,0
Ozy#11811,1395,6029,6,2663,0,0.1,4,3,0,8,0,5,0,0,0,0,0,3365,0,0,0,0,0,2,0,0,4,0,1,0,2,0,240,0,4,5,0,0.16,0
FemtoIsBorn#1677,1539,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.04,1.0
Fieldsy36#1324,2375,1451,1,639,1,0,0,0,0,1,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0.08,0
KaL1n#2141,2787,9723,22,2982,0,0.05,8,6,0,20,0,11,0,1,0,1,0,6741,3,0,1,1,0,6,0,12,60,0,0,0,0,0,360,164,11,13,0,0.3,1.0
dinosoup#1873,2130,1211,1,965,0,0,0,1,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,6,0,0,0,0,0,60,0,0,0,0,0.55,1.0
Yolox#1424,2592,238,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
ChildOfGod#11325,4120,4360,5,588,0,0.05,6,1,0,4,0,3,0,0,0,0,0,3772,1,0,0,0,0,2,0,0,0,0,0,0,0,0,120,19,3,4,0,0.35,1.0
Duckquack#11270,3518,44051,114,7938,3,0.04,61,18,0,109,0,41,2,3,0,1,0,36046,12,3,5,5,3,26,0,47,81,0,0,0,9,0,2160,827,63,78,1,0.35,0.46
GnomeStyle#21731,4112,5191,10,699,0,0.2,18,5,0,11,0,4,0,0,0,0,0,4493,1,0,0,1,1,0,0,5,2,0,1,0,1,0,240,75,5,10,0,0.2,0
Skild#2913,3558,6546,12,0,0,0.01,1,3,0,8,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,0,0,0,1,0,240,10,4,8,0,0.29,0.15
Ben#17284,2532,1999,3,952,0,0,0,1,0,3,0,2,0,0,0,0,0,1047,0,0,0,0,0,0,0,1,2,0,0,0,0,0,60,0,1,3,0,0.04,0
LedZonic#1633,2516,3551,9,794,0,0.01,1,2,0,5,0,3,0,0,0,0,0,2757,2,1,0,0,0,3,0,4,20,0,0,0,0,0,120,0,3,4,0,0.28,0
Krasso#2261,2651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dragoon#21732,2262,8979,15,0,0,0.05,19,5,0,7,0,3,0,0,0,0,0,0,2,1,0,1,0,3,0,4,37,0,0,0,0,0,240,20,6,4,0,0.46,0.81
Baktus#21930,2003,41602,120,7423,2,0.06,45,33,0,81,0,34,2,4,0,2,0,33477,12,2,5,5,0,11,1,48,137,0,0,0,10,0,2400,232,28,69,0,0.26,0.55
STARZ#2387,2439,2250,5,78,0,0.06,4,3,0,2,0,0,0,0,0,0,0,2171,0,0,0,0,0,1,0,0,1,0,0,0,0,0,60,0,1,1,0,0.36,0.92
duffyman28#1281,2168,111091,176,29643,3,0.05,97,40,0,176,0,75,3,8,0,5,0,80271,24,4,9,11,0,34,6,77,163,0,0,0,21,0,3600,727,91,134,1,0.33,0.62
