battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Future#12239,2876,6745,1680,0,0.16,10,10,0,7,0,3,1,1,0,0,0,5063,2,1,0,0,0,0,3,2,0,0,3,0.44,7,0,0,0,480,0,0,2,0.32,0.25
Bonker#21608,2554,412,0,0,0.33,1,3,0,1,0,1,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0.27,1,0,1,0,60,0,0,0,0.27,0
Hanzo#21949,3182,448612,65820,11,0.16,848,439,0,970,0,641,21,41,0,20,0,375855,88,23,34,31,11,3,244,776,0,0,403,0.47,627,1,224,0,28800,3897,17,93,0.37,0.48
Protato#2106,3670,54732,8026,0,0.19,110,65,0,144,0,95,3,5,0,3,0,46359,9,6,1,2,0,0,35,141,0,0,42,0.46,82,0,32,0,3600,332,0,6,0.35,0.49
Rak#1706,2514,45246,6244,0,0.15,73,45,0,94,0,70,3,5,0,3,0,38691,13,3,3,7,0,0,19,41,0,0,38,0.49,54,0,26,0,3300,166,1,4,0.36,0.47
Nyles#21780,2703,17392,0,0,0.13,33,17,0,41,0,32,1,2,0,1,0,0,4,2,0,2,0,0,5,6,0,0,0,0.49,26,0,16,0,1380,37,0,1,0.46,0.56
LuckyPants#223428,3333,9608,1909,0,0.1,11,7,0,22,0,16,1,1,0,0,0,7499,3,1,1,1,0,0,3,5,0,0,6,0.55,7,0,5,0,600,13,0,1,0.45,0
Kushtyvibes#1876,1731,1747,191,0,0.04,1,0,0,6,0,2,0,0,0,0,0,1143,0,0,0,0,0,0,3,2,0,0,0,0.52,1,0,1,0,120,18,2,1,0.36,1.0
Bads#21935,2166,16635,0,1,0.07,32,11,0,34,0,17,2,2,0,0,0,0,4,2,1,1,0,0,12,24,0,0,0,0.58,12,0,6,0,1080,120,5,1,0.43,0
Nephiux#2890,2011,76924,14284,0,0.14,125,42,0,152,0,99,5,9,0,4,0,61289,19,9,5,5,0,0,42,14,0,0,48,0.5,86,0,44,0,3600,100,8,14,0.41,0.43
