battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,enemies_emp'd,enemies_hacked,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Jove123#2748,2356,2301,112,0,0,0,3,0,6,0,5,0,3,0,0,0,0,0,1956,1,0,0,0,0,0,4,11,3,0,0,0,0,180,2,1,0.46,0.26
Jackart#21903,3011,1799,352,0,0,0,8,0,3,3,9,0,0,1,1,0,0,0,1316,1,0,0,1,0,0,2,26,4,1,0,0,0,300,18,4,0.32,0.01
RevelBar#1354,2123,269,128,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,2,0,0,0,0,0,0,36,0,0,0.25,0
FluffyPanda#11267,2879,3959,343,0,0,0,11,0,11,4,8,0,4,0,0,0,0,0,3616,1,0,0,0,0,0,6,41,3,1,0,1,0,360,0,0,0.35,0.83
DudeGuyBro#1302,3683,20542,1656,1,0,0,20,0,59,50,73,0,19,1,3,0,2,0,14199,7,3,2,3,0,0,21,200,26,0,0,7,0,1740,138,0,0.28,0.72
Rody21#11444,2215,97,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,60,0,0,0.61,1.0
Sillicate#1171,2456,3622,603,0,0,0,8,0,5,2,9,0,1,1,1,0,0,0,3007,1,0,0,1,0,0,1,22,2,0,0,0,0,300,0,0,0.31,0.0
medibooty#1351,2452,14248,4466,0,0,0,14,0,31,23,44,0,10,1,1,0,0,0,8658,4,1,2,1,1,1,9,66,19,0,0,0,0,900,100,0,0.36,0.14
Coco#2564,2934,1062,184,0,0,0,2,0,3,2,2,0,1,0,0,0,0,0,878,0,0,0,0,0,0,3,21,0,0,0,0,0,120,0,0,0.19,0
vipersniper#2931,3006,11873,1947,1,0,0,8,0,33,28,36,0,7,0,2,0,2,0,7362,4,3,1,1,0,0,12,66,13,0,0,0,0,780,44,0,0.4,1.0
