battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deadeye_kills,deaths,defensive_assists,eliminations,environmental_kills,fan_the_hammer_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Riovanes#11316,1766,1441,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,60,0,0,0.5,0
Hakeem#1195,2856,94416,17260,1,0.11,119,21,91,0,168,0,3,96,5,9,0,4,0,76055,22,8,8,6,0,1,67,350,0,0,0,17,0,3600,364,7,0.45,0.47
SquirrelLoot#1358,2058,260,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Battalion#11525,2570,8959,2644,0,0.03,3,1,7,0,17,0,7,8,1,1,0,0,0,6315,2,0,1,1,0,0,9,67,0,0,0,2,0,480,19,0,0.38,0
TheArob#1166,2214,16937,7843,0,0.07,12,4,12,0,20,0,7,10,0,1,0,1,0,8921,0,0,0,0,0,0,4,38,0,1,0,2,0,840,0,1,0.29,1.0
CrusH#2638,2933,108933,21107,0,0.08,103,32,111,0,227,0,43,145,6,9,1,2,0,86667,22,7,9,7,1,5,78,438,0,0,0,29,0,3600,1324,1,0.44,0.3
Zethian#2834,3084,2033,669,0,0.05,1,0,1,0,3,0,0,1,0,0,0,0,0,1364,1,0,0,0,0,0,1,14,0,0,0,0,0,120,0,0,0.45,0
leetmode#1142,2849,656,0,0,0.07,1,0,3,0,1,0,1,1,0,0,0,0,0,656,1,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0.28,0
Gallofamily#1638,2556,422,0,0,0.2,1,0,1,0,1,0,0,1,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.27,0
fatkid601#1671,2104,6124,2705,0,0,0,1,7,0,7,0,2,2,0,0,0,0,0,3419,2,0,0,1,0,0,3,14,0,0,0,0,0,300,0,0,0.44,0
DankMemes420#1767,2232,2843,0,0,0.02,1,1,8,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,11,0,0,0,0,0,300,0,0,0.48,0.87
boxlife00#2929,3338,72555,17967,1,0.1,82,17,76,0,146,0,15,85,5,7,0,1,0,53499,16,3,5,8,1,0,49,242,0,0,0,16,0,3600,454,8,0.42,0.16
Grendear#2856,1992,35595,6888,0,0.1,41,7,47,0,66,0,8,34,3,3,0,1,0,28065,9,3,3,3,0,1,23,148,0,0,0,8,0,2220,246,2,0.43,0.22
Kingsen#6261,2916,148647,28500,0,0.08,179,38,146,0,308,0,12,181,6,13,0,7,0,118472,36,19,7,10,1,1,106,573,0,0,1,41,1,7200,487,13,0.47,0.53
bsc#11891,2193,30489,7461,0,0.1,34,7,25,0,55,0,8,41,2,2,0,1,0,22856,7,2,4,0,0,0,17,52,0,0,0,11,0,1800,264,0,0.44,0.22
iWolfy798#11463,2539,87566,19163,3,0.1,100,19,68,0,187,0,14,129,6,9,0,3,0,67824,15,3,9,3,3,0,59,231,0,0,0,38,0,3600,1146,0,0.45,0.34
LegoManster#1361,2910,62602,13279,1,0.09,62,17,54,0,151,1,16,89,3,8,0,5,0,49017,14,5,5,4,3,2,39,159,0,0,0,24,0,3600,599,0,0.39,0.61
Tafty10#11320,1858,901,420,0,0.08,1,0,2,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0.28,0
Forseti010#2401,1355,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0.14,0
Powerzz#11597,3246,7408,1529,0,0.16,14,3,5,0,16,0,0,8,0,0,0,0,0,5880,2,1,0,1,0,0,3,2,0,0,0,1,0,360,0,0,0.4,1.0
Eros#22946,3323,66349,11755,1,0.08,69,14,66,0,129,0,22,69,4,8,0,4,0,53923,21,8,4,9,0,2,48,176,0,0,0,15,0,3600,355,0,0.51,0.48
Gearbox#11735,1741,88700,17900,1,0.08,88,24,74,0,194,0,60,108,5,7,0,2,0,70187,11,4,2,5,0,0,92,485,0,1,0,23,0,3600,794,0,0.48,0.31
basruben#2386,2236,3592,1837,0,0.09,4,0,5,0,3,0,0,2,0,0,0,0,0,1702,1,0,0,1,0,0,1,3,0,0,0,0,0,240,0,0,0.52,0
ThesaurusRex#11972,2508,5075,2048,0,0.04,2,0,7,0,8,0,3,3,0,0,0,0,0,2826,1,1,0,0,1,0,2,36,0,0,0,1,0,360,0,0,0.24,0
Spoutnaze#21815,2294,45517,8712,0,0.07,41,12,53,0,85,0,14,48,3,5,1,2,0,36667,7,3,1,4,1,0,33,156,0,0,0,13,0,3420,69,0,0.39,0.39
Jerre#21798,2508,5642,1477,0,0.09,7,2,10,0,9,0,3,5,1,1,0,0,0,4065,1,0,0,1,0,0,1,16,0,0,0,0,0,480,0,0,0.51,0
Soleon#11633,1661,535,410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.33,1.0
AwesomeFlow#2447,3608,65261,7888,2,0.11,96,15,53,0,153,0,15,96,3,5,0,1,0,56754,12,6,5,2,3,1,58,316,0,0,0,9,0,3600,543,10,0.5,0.32
TOTOSH#2783,1906,180652,39565,1,0.08,179,36,141,0,303,0,16,149,7,13,0,6,0,139898,30,10,7,14,2,4,120,613,0,0,0,24,0,7200,620,0,0.41,0.45
MajinTaj#1132,2841,24900,1687,0,0.1,32,12,24,0,64,0,4,38,2,3,0,2,0,22836,5,1,1,2,0,1,34,158,0,1,0,5,0,1740,340,0,0.46,0.53
Nico018#2352,3111,5422,190,0,0.1,8,2,10,0,13,0,3,8,1,1,0,0,0,5167,2,1,0,1,1,0,1,11,0,1,0,2,0,420,0,0,0.4,0.02
uhmcring#1359,1506,18103,3807,0,0.06,13,7,23,0,42,0,18,30,1,3,0,2,0,14271,9,4,4,1,0,0,15,118,0,0,0,16,0,1500,113,0,0.47,0.61
M1NDSTATE#1950,2483,4949,1985,0,0.09,4,0,6,0,6,0,0,3,0,0,0,0,0,2964,1,1,0,0,0,0,1,3,0,0,0,0,0,300,2,0,0.38,0.78
FKmaster#11778,3505,51426,13450,3,0.1,57,10,33,0,87,0,9,54,1,3,0,2,0,37949,7,2,4,1,0,0,26,152,0,0,0,5,0,2280,573,0,0.46,0.62
Sbuqaarah#1127,2675,56262,7225,1,0.08,57,24,55,0,133,0,10,97,1,5,1,3,0,48533,13,4,5,4,1,3,70,279,0,0,0,22,0,3540,594,0,0.44,0.67
SilentFOX#11925,1260,1041,490,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,551,1,0,0,0,0,0,1,5,0,0,0,0,0,60,0,0,0.62,0
NoAimbotHere#1854,3578,77005,17395,0,0.11,96,18,71,0,132,0,7,72,2,5,0,3,0,59371,14,5,5,5,0,0,50,320,0,0,0,16,0,3600,178,0,0.39,0.57
bloodyreaper#11766,2855,40273,7663,0,0.11,51,11,37,0,82,0,9,52,2,3,0,1,0,32280,6,0,2,4,0,1,27,111,0,0,0,12,0,2340,419,2,0.44,0.31
NightmareF#2462,4020,45258,14181,0,0.1,45,6,39,0,85,0,6,47,2,4,0,2,0,30878,14,10,3,1,1,1,29,245,0,0,0,4,0,2220,251,0,0.39,0.6
effect#31315,3002,51640,7158,1,0.12,73,10,61,0,99,0,4,56,2,4,0,2,0,43790,11,4,4,4,0,1,43,376,0,0,0,9,0,3420,412,0,0.35,0.52
Morango#11458,3257,13889,4240,0,0.07,11,4,12,0,16,0,1,8,1,1,0,0,0,9600,1,1,0,0,0,0,2,23,0,0,0,3,0,780,0,0,0.45,0
DSPKinky#1728,3045,2529,521,0,0.08,3,1,3,0,4,0,0,1,0,0,0,0,0,1938,0,0,0,0,0,0,4,22,0,0,0,0,0,120,0,0,0.53,0
