battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_reflected,deaths,defensive_assists,dragonblade_kills,dragonblades,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
FUBAR#21600,2995,97,56,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.06,0
XmpbX#2683,1958,87527,13539,2,0.07,120,19836,96,0,28,37,177,0,88,4,10,0,6,0,68950,28,8,11,9,3,0,61,620,0,0,0,0,27,2,3600,420,19,0.34,0.58
Spycatcher69#2145,2381,6692,885,0,0.07,7,2071,7,0,2,2,11,0,6,0,0,0,0,0,5711,1,0,0,1,0,0,6,118,0,0,0,0,1,0,300,6,0,0.34,0
xICometz#2689,2662,479819,0,12,0.07,803,86067,365,0,212,174,884,1,435,15,32,0,17,0,0,104,32,44,28,40,13,366,3805,0,0,0,1,77,3,21600,3678,59,0.36,0.53
EasyPeasy#21535,2835,13096,1175,0,0.09,25,4458,18,0,3,6,30,0,18,0,1,0,1,0,11849,2,1,0,0,3,0,6,63,0,1,0,0,3,0,840,26,0,0.36,1.0
SpongeDick#2305,2596,1486,0,0,0.02,1,560,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0.62,0
Hippocrit#1567,735,8166,2390,0,0.03,5,2361,22,0,0,3,10,0,6,1,2,0,1,0,5416,5,2,2,1,0,0,2,54,0,0,0,0,1,0,900,0,1,0.28,0.34
maki#21449,1765,35883,5680,1,0.08,49,7954,49,0,12,16,72,0,47,2,4,1,2,0,28898,10,1,6,2,3,0,24,268,0,0,0,0,9,0,2820,234,1,0.26,0.48
Ryanocerous7#1515,1489,901,392,0,0.2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.2,0
Tunechi#2261,2021,26817,2063,2,0.12,49,7317,13,0,21,12,81,0,56,0,2,0,2,0,22849,8,1,7,0,6,2,15,114,0,1,0,1,23,0,1260,938,4,0.38,1.0
Server4#1561,3549,942402,255390,30,0.09,1573,172715,537,0,387,274,1873,1,994,26,66,2,39,0,672753,178,40,73,64,103,28,648,4903,0,0,0,1,177,2,46800,5059,46,0.27,0.6
MrProtato#2555,2962,9859,2095,1,0.06,10,1536,9,0,4,3,25,0,14,0,1,0,0,0,7595,3,1,1,1,2,0,2,73,0,0,0,0,5,0,660,61,0,0.24,0.56
Squalala#2489,2682,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0
Himkit#2612,2297,10526,2191,0,0.06,15,2854,14,0,7,4,26,0,7,1,2,0,1,0,8203,4,2,1,1,0,1,11,105,0,0,0,0,2,0,900,3,1,0.29,0.54
