battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,dragonstrike_kills,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scatter_arrow_kills,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
TheMercy27#2652,3125,1015,889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0.21,0
Zgrob#2480,2759,456,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,60,0,0,0.09,0
Swiffy#21563,3253,15226,3604,1,0.06,7,12,0,2,11,0,8,1,2,0,0,0,11537,3,0,2,1,0,1,6,12,0,0,6,3,0,2,0,720,144,0,0.23,0.15
Anuruul#1783,2644,3905,0,0,0.11,4,3,0,3,12,0,8,0,0,0,0,0,3905,2,1,0,1,0,1,2,34,0,0,1,3,0,1,0,300,0,0,0.2,1.0
kyo#2305,1753,10333,4859,0,0.07,4,5,0,2,6,0,5,1,1,0,0,0,5463,2,1,1,0,0,0,2,18,0,0,3,2,0,1,0,420,0,0,0.15,0
Kaharo#1320,2843,2496,1027,0,0.08,1,6,0,0,2,0,2,1,1,0,0,0,1469,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,240,0,0,0.11,0
Robit#11393,3039,85995,22794,1,0.06,39,64,0,16,147,0,96,5,8,0,3,0,61048,21,6,9,6,0,1,53,344,0,0,41,50,0,19,0,3600,606,5,0.22,0.35
Anvarov#2943,2082,2196,354,0,0,0,2,0,1,6,0,6,0,0,0,0,0,1842,0,0,0,0,0,0,3,0,0,0,4,2,0,1,0,240,0,0,0.17,1.0
Torti#11582,3838,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.01,1.0
Jasheen#11545,3197,10465,1351,0,0.12,9,16,0,1,17,0,11,1,1,0,0,0,8963,4,2,1,1,0,0,4,65,0,1,2,2,0,4,0,720,0,0,0.34,0
WilsonYo#11247,2397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1.0
FireFynjy#2122,1162,34893,10934,0,0.09,19,43,0,8,41,0,28,3,3,0,0,0,23434,5,4,0,0,0,1,16,144,0,0,17,13,0,15,0,2220,26,0,0.18,0
MrRaguuV2#2389,2308,6218,744,0,0.03,2,8,0,0,6,0,5,0,1,0,0,0,4933,2,1,1,1,0,0,1,22,0,0,2,2,0,3,0,480,0,2,0.25,0.52
Copper#11952,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Eros#12183,3007,1506,125,0,0,0,3,0,0,2,0,1,0,0,0,0,0,1381,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,60,0,0,0.43,0
FHALEEN#2659,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0
GDAYM8#11833,2068,39896,10790,0,0.06,18,29,0,9,65,0,44,2,4,0,2,0,28520,7,2,3,2,1,0,25,99,0,1,18,25,0,17,0,2400,34,1,0.18,0.44
FilthyWeeb#11652,2080,6904,0,1,0.04,3,8,0,2,5,0,4,0,0,0,0,0,6897,2,0,1,1,0,0,2,3,0,1,0,2,0,4,0,300,0,0,0.33,0.11
GALT#11331,3331,102562,34882,0,0.04,28,76,0,21,127,0,72,5,6,0,0,0,65276,17,8,4,5,0,3,56,493,0,0,34,42,0,14,0,3600,445,3,0.25,0.05
PapaJoobi#1365,4002,39509,9874,0,0.06,17,23,0,13,60,0,41,2,3,0,1,0,28999,8,2,3,3,2,1,17,145,0,0,20,23,0,11,0,1860,289,2,0.25,0.32
Sunderland#11139,1630,645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.55,0
Breadbox3000#1973,2303,8269,1456,0,0.1,6,5,0,2,15,0,9,0,1,0,0,0,6613,3,2,0,0,0,0,10,61,0,1,7,5,0,2,0,420,41,0,0.18,0.68
Lucky#14420,2460,907,0,0,0.1,1,1,0,0,2,0,2,0,0,0,0,0,907,1,0,0,0,0,0,1,23,0,0,0,1,0,1,0,60,0,0,0.23,0.67
hyunwoop#1181,1743,61640,20342,0,0.08,31,48,0,10,93,0,59,3,6,0,3,0,40966,16,8,3,5,0,0,43,198,0,1,13,18,0,16,0,3360,125,0,0.21,0.55
MortalBanana#2571,2501,1659,0,0,0.08,1,1,0,0,2,0,2,0,0,0,0,0,1659,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60,18,0,0.19,0
LoneWolf#14255,2495,32071,7517,1,0.05,13,24,0,10,63,0,44,2,3,0,1,0,24048,8,3,3,2,1,1,23,115,0,1,13,27,0,13,0,1740,478,5,0.23,0.38
ctangulme#1961,2262,22573,6133,0,0.08,12,8,0,6,34,0,21,0,1,0,1,0,16189,3,1,2,0,0,0,13,33,0,0,13,11,0,5,0,780,364,0,0.26,0.74
canadiaN#21393,3368,64285,10585,1,0.09,50,60,0,19,104,0,65,3,5,0,2,0,52771,14,5,2,7,1,1,29,160,0,0,19,25,0,20,0,3600,303,1,0.26,0.36
yomama0117#1890,4195,3641,1398,0,0,0,4,0,0,5,0,3,0,0,0,0,0,2244,2,1,0,1,0,0,3,18,0,1,2,1,0,0,0,180,0,0,0.26,0
Rengar#11226,2317,21342,6963,0,0.05,9,25,0,4,29,0,26,2,2,0,0,0,14162,4,1,2,1,0,0,12,44,0,0,5,11,0,8,0,1260,19,0,0.25,0.14
Jalidone#1623,2705,925668,204514,19,0.06,407,828,0,274,1643,0,1071,36,69,2,31,0,708782,161,47,58,56,14,23,575,3654,0,0,478,567,1,275,1,46800,8773,67,0.25,0.46
FriendleeADC#2964,2507,110119,27601,2,0.05,46,79,0,27,193,0,126,2,7,1,4,0,81593,19,4,8,7,2,2,57,229,0,0,54,75,0,36,0,3600,709,5,0.25,0.67
