battletag,SR,all_damage_done,barrier_damage_done,blizzard_kills,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,enemies_frozen,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,self_healing,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
WhaTsZapp#1383,2457,2264,181,0,0,0.13,2,4060,6,0,6,5,0,1,0,0,0,0,0,2081,2,1,0,0,0,0,4,49,0,0,94,0,1,0,300,0,0,0.41,0
Jinh#1826,2621,1571,0,2,1,0.1,1,767,0,0,8,5,0,1,0,0,0,0,0,0,2,1,1,0,0,0,7,47,2,0,332,0,1,0,60,76,0,0.55,1.0
Tatsuya#11702,3948,20,0,0,0,0,0,482,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,131,0,0,0,19,0,0,0,1.0
cane#11832,2505,17190,4721,13,0,0.19,23,6855,12,0,39,25,0,9,1,1,0,1,0,12352,4,2,1,1,1,1,30,259,10,0,1634,0,0,0,1080,86,0,0.29,0.56
SiggitySwoo#1749,2247,11674,3379,6,0,0.15,8,9890,13,0,34,29,0,15,1,2,0,1,0,8237,5,1,1,3,0,0,25,458,11,0,1259,0,2,0,1140,120,1,0.35,0.53
SPOOKY#12565,1539,68,0,0,0,0,0,646,1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.33,0
Voltarity#1289,2027,537,147,0,0,0.33,1,1576,2,0,1,1,0,1,0,0,0,0,0,390,0,0,0,0,0,0,0,5,0,0,280,0,0,0,60,98,0,0.6,0
Excalibur#12599,3072,9085,2331,4,0,0.3,20,4251,3,0,26,10,0,11,1,1,0,0,0,6616,1,1,0,0,0,0,6,50,3,0,1738,0,2,0,780,37,0,0.26,0
TechnicFrog#1347,2477,6350,1482,1,0,0.25,8,7527,11,0,17,18,0,8,1,1,0,0,0,4794,4,2,1,1,0,0,7,53,1,0,997,0,2,0,780,0,0,0.25,0
TehCrayz#2858,2896,857,258,0,0,0,0,3586,2,0,5,2,0,2,0,0,0,0,0,595,0,0,0,0,0,0,5,59,1,0,425,0,0,0,120,0,0,0.16,0.51
Ryan#1224,2596,5763,1412,3,0,0.14,5,3458,8,0,18,13,0,6,1,1,0,0,0,4251,3,1,2,1,1,0,11,151,7,0,613,0,0,0,480,0,0,0.38,0
Icecream#1394,1912,1029,75,0,0,0.4,2,1468,3,0,0,3,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,19,0,0,147,0,0,0,120,0,0,0.31,0
toxicNever#4469,3423,14916,0,9,0,0.1,18,9807,17,0,33,17,0,9,0,1,0,1,0,0,4,1,1,2,0,1,16,123,0,0,1185,0,4,0,960,109,0,0.5,0.59
lillie#21319,3505,23239,0,14,0,0.16,38,8500,31,0,50,43,0,21,2,2,0,0,0,0,7,2,3,2,1,1,25,154,0,0,3054,0,10,0,1680,370,2,0.43,0.03
Rosey#11896,4046,363,111,0,0,0.25,1,745,2,0,1,0,0,1,0,0,0,0,0,252,0,0,0,0,0,0,1,16,0,0,0,0,0,0,60,28,0,0.33,0.44
Cola#21561,3306,1038,47,0,0,0.33,3,995,2,0,3,2,0,2,0,0,0,0,0,989,0,0,0,0,0,0,3,28,2,0,110,0,0,0,60,17,0,0.52,1.0
ceejay#12934,2567,10120,3091,8,0,0.21,11,9067,13,0,32,17,0,10,1,1,0,0,0,6501,4,0,3,0,0,0,15,99,8,1,1101,0,2,0,960,148,1,0.38,0
sweetshot#1451,2450,8246,1825,9,0,0.21,6,8880,10,0,52,29,0,13,0,1,0,1,0,6227,2,2,0,0,0,0,27,138,16,0,1429,0,2,0,1080,38,0,0.24,0.67
MYK#11799,2901,70,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.25,0.93
Wakizashi#2897,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Flomas#1813,3000,8645,2661,3,0,0.16,10,2793,6,0,14,7,0,5,0,1,0,1,0,5859,2,1,0,1,1,0,5,19,3,0,694,0,3,0,600,0,0,0.27,0.89
kimochee#1925,1608,1492,196,0,0,0.07,1,4613,2,0,4,1,0,1,0,0,0,0,0,1294,1,0,1,0,1,0,2,20,1,0,221,0,0,0,120,0,0,0.23,0
XPaul#21612,3059,1432,29,0,0,0.15,2,246,3,0,0,3,0,0,0,0,0,0,0,1388,1,0,0,0,0,0,0,3,0,0,37,0,0,0,120,0,0,0.38,0
plug#1599,3688,5252,1895,2,0,0.06,2,5768,8,0,14,6,0,5,0,0,0,0,0,3355,1,0,0,0,0,0,10,44,4,0,624,0,0,0,420,0,0,0.19,0
WateR#21420,3923,895,257,0,0,0,0,1924,2,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,1,0,0,384,0,0,0,60,0,0,0.37,0
KingArthur#11167,2823,723,75,0,0,0.16,1,1319,1,0,4,1,0,1,0,0,0,0,0,574,0,0,0,0,0,0,4,6,0,0,30,0,0,0,50,0,0,0.54,0
Sasuung#1430,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rotator72#2583,1870,2377,246,3,0,0.17,3,4909,4,0,10,7,0,3,0,0,0,0,0,2124,2,1,0,1,0,0,5,51,3,0,434,0,1,0,420,37,0,0.22,0.25
