battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,players_teleported,primary_fire_accuracy,quick_melee_accuracy,sentry_turret_kills,shield_generator_uptime,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,teleporter_uptime,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Gaspard#22931,3220,7434,1440,0,0,0,2325,7,0,15,0,6,1,1,0,0,0,5994,2,1,0,1,0,0,2,21,0,1,1,0,8,219,0,2,0,31,540,0,0,0,0.42
JED#1877,2364,1549,138,0,0,0,564,3,0,4,0,2,0,0,0,0,0,1410,1,0,0,0,0,0,0,11,0,6,0,0,2,0,0,2,0,41,60,38,1,0,0
DrGoku#1270,2478,2309,294,0,0,0,1280,2,0,9,0,5,0,0,0,0,0,2011,1,0,1,0,0,0,5,11,0,0,1,0,4,53,0,1,0,6,240,18,0,0,0
MyLittlePony#21558,2390,41018,0,2,0,0,12584,35,0,107,0,44,1,5,0,4,0,0,17,8,5,4,0,0,16,75,0,53,0,0,55,0,0,13,0,1047,2580,532,0,0,0.73
crux#11559,2091,4163,437,0,0,0,460,3,0,12,0,7,0,0,0,0,0,3696,1,0,0,0,0,0,7,26,0,4,1,0,3,0,0,2,0,42,240,51,0,0,0.73
ImASausage#11937,2892,3393,563,0,0,0,590,2,0,12,0,5,0,0,0,0,0,2830,2,1,0,1,0,0,5,1,0,2,1,0,8,0,0,0,0,91,180,70,0,0,1.0
ItchyQuilt#1595,3045,5237,2077,0,0,0,3135,8,0,6,0,1,1,1,0,0,0,3159,2,1,0,1,0,0,5,28,0,0,0,0,4,25,0,0,0,3,420,0,0,0,0
SpookyBarrel#1462,2426,395,0,0,0,0,160,1,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
cruft#1203,2350,1161,62,0,0,0,387,1,0,6,0,1,0,0,0,0,0,1099,0,0,0,0,0,0,3,13,0,0,0,0,5,99,0,0,0,0,180,0,0,0,0
Foxweg#1170,2252,21119,3142,0,0,0,7938,30,0,47,0,22,2,3,0,1,0,17637,7,5,0,2,0,0,14,67,0,14,1,0,19,187,0,5,0,206,2040,18,0,0,0.45
Mystery#21155,2144,1232,330,0,0,0,780,3,0,2,0,1,0,0,0,0,0,874,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,120,0,3,0,0
Justhoohaa#1221,2771,1880,50,0,0,0,70,5,0,4,0,1,1,1,0,0,0,1830,0,0,0,0,0,0,2,2,0,3,1,0,3,0,0,1,0,25,300,0,0,0,0
mumin#21630,2337,8791,5205,0,0,0,1927,2,0,9,0,3,0,0,0,0,0,3584,1,1,0,0,0,0,6,129,0,1,1,0,3,78,0,0,0,16,360,0,2,0,1.0
Merciless#11977,2443,12836,3668,0,0,0,4626,14,0,30,0,11,0,1,0,1,0,9064,3,0,1,1,0,0,13,53,0,6,1,0,14,303,0,2,0,38,900,43,0,0,1.0
Hel#21932,3515,2124,862,0,0,0,774,2,0,3,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,10,120,0,0,0,1.0
