battletag,SR,ability_damage_done,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,meteor_strike_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,shields_created,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
stealthyfish#1384,2261,124.3,190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,2,0,0,0,120,0,0,36,0,0,1.0,0
jtank7#1867,1661,13056.99,29110,5209,0,0,0,39,0,63,0,30,2,3,0,1,0,23274,11,4,2,5,0,7,0,29,359,0,0,0,4395,8,0,2040,351,3,0.33,0.38
Fronix#2604,2641,1432.93,2978,575,0,0,0,5,0,9,0,5,0,0,0,0,0,2403,0,0,0,0,0,0,0,2,7,0,0,0,495,1,0,240,0,0,0.35,0
Rocher#21161,2378,2254.84,4575,775,0,0,0,13,0,19,0,12,0,1,0,1,0,3713,1,1,0,0,0,3,0,3,74,0,0,0,885,3,0,660,0,1,0.17,0.72
johnson#12233,3088,49611.76,105090,17208,2,0,0,161,0,205,1,124,5,10,1,4,0,86161,26,10,8,9,11,33,1,79,782,0,0,0,19627.23,37,0,7200,733,1,0.35,0.46
UniAngel#1182,2757,1291.67,2933,407,0,0,0,4,0,4,0,3,0,0,0,0,0,2354,1,0,0,1,0,0,0,2,43,0,0,0,420,1,0,240,23,0,0.29,0.81
Seraco#2129,2836,29368.51,54499,5524,2,0,0,78,0,126,4,82,2,6,0,4,0,48317,17,4,6,7,2,15,2,51,324,0,0,0,10714.19,20,0,3600,255,4,0.28,0.59
DrCheese782#1221,3650,701.91,1651,160,0,0,0,8,0,2,0,2,0,0,0,0,0,1490,1,1,0,0,0,0,0,0,5,0,0,0,300,0,0,240,8,0,0.21,0.11
Monist#2630,2821,317.89,457,73,0,0,0,2,0,0,0,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,3,0,0,0,60,0,0,60,0,0,0.25,0
Madpanda#11842,2147,222.03,690,233,0,0,0,2,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,60,0,0,0.2,0
Uturnity#2529,2305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
borisssss#1255,2640,3987.28,6622,673,0,0,0,15,0,15,0,8,1,1,0,0,0,5948,3,1,1,1,0,0,0,3,69,0,0,0,1200,2,0,720,38,0,0.21,0.35
Tova#1606,3407,2463.85,3959,270,0,0,0,12,0,14,1,9,1,1,0,0,0,3653,3,2,0,1,0,3,0,6,25,0,0,0,1015.17,5,0,420,53,0,0.24,0
RamboLambo#2422,3108,275000.95,465308,61764,3,0,0,814,0,1094,10,686,34,58,1,22,0,397341,88,42,15,32,11,143,4,326,3415,0,0,1,108171.14,197,1,39600,1842,7,0.23,0.39
